Partido,Fase,Duracion,Ganador,Primera Torre Ganador,Numero de Torres Derribadas Ganador,Numero total de Dragones Ganador,Dragones de Viento Ganador,Dragones de Ocenado Ganador,Dragones de Montaña Ganador,Dragones Infernales Ganador,Dragones Ancianos Ganador,Numero de Barones Nashor Ganador,Primera Sangre Ganador,Oro Ganador,Region Ganador,Lado del mapa Ganador,Asesinatos Ganador, Muertes Ganador, Asesinatos/Muertes Ganador,Perdedor,Primera Torre Perdedor,Numero de Torres Derribadas Perdedor,Numero total de Dragones Perdedor,Dragones de Viento Perdedor,Dragones de Ocenado Perdedor,Dragones de Montaña Perdedor,Dragones Infernales Perdedor,Dragones Ancianos Perdedor,Numero de Barones Nashor Perdedor,Primera Sangre Perdedor,Oro Perdedor,Region Perdedor,Lado del mapa Perdedor,Asesinatos Perdedor, Muertes Perdedor, Asesinatos/Muertes Perdedor
LK vs HKA,playIn,1822,Hong Kong Attitude,1,10,4,1,1,0,2,0,2,1,62800,TW,rojo,13,2.0,6.5,Lowkey Esports.Vietnam,0,4,0,0,0,0,0,0,0,0,48500,VN,azul,2,13.0,0.15384616
FLA vs Royal Youth,playIn,2434,Royal Youth,1,11,4,0,1,2,0,1,2,1,79500,TR,rojo,18,12.0,1.5,Flamengo eSports,0,3,2,1,0,1,0,0,0,0,70000,BR,azul,12,18.0,0.6666667
LK vs MEGA,playIn,2049,Lowkey Esports.Vietnam,0,7,2,1,1,0,0,0,1,1,63200,VN,azul,17,9.0,1.8888888,MEGA,1,4,1,0,1,0,0,0,0,0,58000,SEA,rojo,9,17.0,0.5294118
FLA vs DWG,playIn,1692,DAMWON Gaming,1,11,3,3,0,0,0,0,1,0,57600,KR,rojo,17,6.0,2.8333333,Flamengo eSports,0,2,0,0,0,0,0,0,0,1,45400,BR,azul,6,17.0,0.3529412
HKA vs MEGA,playIn,2365,Hong Kong Attitude,0,9,3,2,0,0,1,0,1,0,71700,TW,azul,13,10.0,1.3,MEGA,1,4,3,0,3,0,0,0,0,1,64600,SEA,rojo,10,13.0,0.7692308
DWG vs Royal Youth,playIn,1837,DAMWON Gaming,0,9,5,0,2,3,0,0,1,0,60700,KR,azul,15,8.0,1.875,Royal Youth,1,2,0,0,0,0,0,0,0,1,48500,TR,rojo,8,15.0,0.53333336
CG vs UOL,playIn,1862,Clutch Gaming,1,11,4,0,1,2,1,0,1,1,64400,NA,azul,27,11.0,2.4545455,Unicorns Of Love,0,0,0,0,0,0,0,0,1,0,52200,CIS,rojo,11,27.0,0.4074074
UOL vs MMM,playIn,1703,Unicorns Of Love,1,7,3,2,0,0,1,0,1,1,52600,CIS,rojo,15,1.0,15.0,Mammoth eSports,0,2,1,0,0,1,0,0,0,0,42200,OCE,azul,1,15.0,0.06666667
ISG vs Splyce,playIn,2336,Splyce,0,9,2,1,0,0,1,0,2,0,76600,EUW,rojo,20,17.0,1.1764706,Isurus Gaming,1,4,2,2,0,0,0,0,0,1,68800,LAT,azul,17,20.0,0.85
CG vs MMM,playIn,1476,Clutch Gaming,1,10,2,0,2,0,0,0,1,1,49500,NA,azul,13,4.0,3.25,Mammoth eSports,0,0,1,0,0,0,1,0,0,0,37500,OCE,rojo,4,13.0,0.30769232
